E01,World Trade Center,40.712581999999900,-74.009781000000000,,E,36061,New York County,
A34,Canal St,40.720824000000000,-74.005229000000000,,A C E,36061,New York County,
A33,Spring St,40.726227000000000,-74.003738999999900,,C E,36061,New York County,
A32,W 4 St,40.732337999999900,-74.000495000000000,D20,A B C D E F M,36061,New York County,
A31,14 St,40.740893000000000,-74.001689999999900,,A C E,36061,New York County,
A30,23 St,40.745905999999900,-73.998041000000000,,C E,36061,New York County,
A28,34 St - Penn Station,40.752287000000000,-73.993391000000000,,A C E,36061,New York County,
A27,42 St - Port Authority Bus Terminal,40.757308000000000,-73.989734999999900,,A C E,36061,New York County,
A25,50 St,40.762456000000000,-73.985984000000000,,C E,36061,New York County,
D14,7 Av,40.762861999999900,-73.981637000000000,,B D E,36061,New York County,
F12,5 Av/53 St,40.760166999999900,-73.975223999999900,,E M,36061,New York County,
F11,Lexington Av/53 St,40.757552000000000,-73.969055000000000,,E M,36061,New York County,
F09,Court Sq,40.747846000000000,-73.945999999999900,,E M,36081,Queens County,
G21,Queens Plaza,40.748972999999900,-73.937243000000000,,E M R,36081,Queens County,
G14,Jackson Hts - Roosevelt Av,40.746644000000000,-73.891338000000000,,E F M R,36081,Queens County,
G08,Forest Hills - 71 Av,40.721691000000000,-73.844521000000000,,E F M R,36081,Queens County,
F07,75 Av,40.718330999999900,-73.837323999999900,,E F,36081,Queens County,
F06,Kew Gardens - Union Tpke,40.714441000000000,-73.831007999999900,,E F,36081,Queens County,
F05,Briarwood - Van Wyck Blvd,40.709178999999900,-73.820573999999900,,E F,36081,Queens County,
G07,Jamaica - Van Wyck,40.702565999999900,-73.816858999999900,,E,36081,Queens County,
G06,Sutphin Blvd - Archer Av - JFK Airport,40.700485999999900,-73.807969000000000,,E J Z,36081,Queens County,
G05,Jamaica Center - Parsons/Archer,40.702146999999900,-73.801108999999900,,E J Z,36081,Queens County,